Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",1.016,0.99
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.774,--
"Core (Slow 1100mV 85C Model)",2.563,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",5.041,1.063
"DQS vs CK (Slow 1100mV 85C Model)",0.838,0.694
"Postamble (Slow 1100mV 85C Model)",0.803,0.803
"Read Capture (Slow 1100mV 85C Model)",0.405,0.358
"Write (Slow 1100mV 85C Model)",0.431,0.431
"Address Command (Slow 1100mV 0C Model)",1.009,0.984
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.801,--
"Core (Slow 1100mV 0C Model)",2.56,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",5.134,1.012
"DQS vs CK (Slow 1100mV 0C Model)",0.844,0.733
"Postamble (Slow 1100mV 0C Model)",0.79,0.79
"Read Capture (Slow 1100mV 0C Model)",0.421,0.374
"Write (Slow 1100mV 0C Model)",0.444,0.444
"Address Command (Fast 1100mV 85C Model)",1.058,1.028
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.91,--
"Core (Fast 1100mV 85C Model)",2.943,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",5.393,0.984
"DQS vs CK (Fast 1100mV 85C Model)",0.901,0.83
"Postamble (Fast 1100mV 85C Model)",0.902,0.902
"Read Capture (Fast 1100mV 85C Model)",0.542,0.494
"Write (Fast 1100mV 85C Model)",0.501,0.501
"Address Command (Fast 1100mV 0C Model)",1.036,1.054
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.923,--
"Core (Fast 1100mV 0C Model)",2.943,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",5.491,0.889
"DQS vs CK (Fast 1100mV 0C Model)",0.898,0.858
"Postamble (Fast 1100mV 0C Model)",0.908,0.908
"Read Capture (Fast 1100mV 0C Model)",0.542,0.495
"Write (Fast 1100mV 0C Model)",0.514,0.514
